regimen,universida,univ_c,unidad_aca,unac_c,anexo_c,unicue,cui,telef,fax,web,direccion_norm,calle,altura,WKT_gkba,barrio,comuna,codigo_postal,codigo_postal_argentino,long,lat
Privado,FLACSO (Facultad Latinoamericana de Ciencias Sociales),1,Rectorado,1,0,100100,2546,5238-9339 (C)5238-9300,4375-1373,www.flacso.org.ar,Ayacucho 555,Ayacucho ,555,POINT (-58.3953412190814 -34.6026584750106),Balvanera,Comuna 3,1026,C1026AAC,-58.3953412190814,-34.6026584750106
Privado,Instituto Tecnológico de Buenos Aires,2,Rectorado,1,0,200100,2456,63934813 [C]6393-4810,6393-4813,www.itba.edu.ar,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Investigación,7,0,200700,2456,6393-4869,6393-4869,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Área de Energía,40,0,204000,2456,6393-4870,6393-4870,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Bioingeniería,87,0,208700,2456,6393-4893,6393-4893,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Desarrollo Humano,103,0,210300,2456,6393-4886,6393-4886,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Economía y Desarrollo Profesional,109,0,210900,2456,6393-4877,6393-4877,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Extensión Universitaria y Viculación Tecnológica,112,0,211200,2456,6393-5984,6393-5984,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Física,114,0,211400,2456,6393-5867,6393-5867,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Ingeniería Eléctrica,120,0,212000,2456,6393-4829,6393-4829,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Ingeniería Eléctrica y Electrónica,121,0,212100,2456,6393-5883,6393-5883,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Ingeniería Electrónica,122,0,212200,2456,6393-5886,6393-5886,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Ingeniería en Petróleo,123,0,212300,2456,6393-4860,6393-4860,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Ingeniería Industrial,124,0,212400,2456,6393-4895,6393-4895,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Ingeniería Informática,125,0,212500,2456,6393-4894,6393-4894,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Ingeniería Mecánica y Naval,126,0,212600,2456,6393-4824,6393-4824,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Ingeniería Química,127,0,212700,2456,6393-5824,6393-5824,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Licenciatura en Administración y Sistemas,130,0,213000,2456,6393-4873,6393-4873,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Matemáticas,137,0,213700,2456,6393-4875,6393-4875,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento de Servicios Tecnológicos,148,0,214800,2456,6393-5984,6393-5984,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento del Doctorado,152,0,215200,2456,6393-4843,6393-4843,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Departamento Naval,153,0,215300,2456,6393-4860,6393-4860,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Escuela de Ingeniería y Gestión,180,0,218000,2456,6393-4870,6393-4870,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Escuela de Ingeniería y Tecnología,181,0,218100,2456,6393-4870,6393-4870,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Privado,Instituto Tecnológico de Buenos Aires,2,Escuela de Postgrado,190,0,219000,2456,6393-4843,6393-4843,,Av. Eduardo Madero 399,Av. Eduardo Madero ,399,POINT (-58.3678488464698 -34.6031162314776),Puerto Madero,Comuna 1,1106,C1106ACD,-58.3678488464698,-34.6031162314776
Público,Instituto Universitario Aeronáutico,3,Escuela Superior de Guerra Aéra,202,0,320200,2458,4346-8752,4346-8752,,Av. Luis María Campos 480,Av. Luis María Campos ,480,POINT (-58.4341586858234 -34.5721622695851),Palermo,Comuna 14,1426,C1426BOP,-58.4341586858234,-34.5721622695851
Público,Instituto Universitario Aeronáutico,3,Instituto de Inteligencia de la Fuerzas Armadas,263,0,326300,2457,4346-8729,4346-8729,,Av. Cabildo 381,Av. Cabildo ,381,POINT (-58.4404021525838 -34.5720425235999),Palermo,Comuna 14,1426,C1426AAD,-58.4404021525838,-34.5720425235999
Público,Instituto Universitario Aeronáutico,3,Instituto Nacional de Derecho Aeronáutico y Espacial,268,0,326800,2459,4514-4266,4514-4266,,Viamonte 153,Viamonte ,153,POINT (-58.3702668715196 -34.5993451896829),San Nicolas,Comuna 1,1053,C1053ABC,-58.3702668715196,-34.5993451896829
